State Code,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Alabama,"4,785,437","4,799,069","4,815,588","4,830,081","4,841,799","4,852,347","4,863,525","4,874,486","4,887,681","4,903,185","5,031,864","5,050,380","5,073,903","5,108,468"
AK,Alaska,"713,910","722,128","730,443","737,068","736,283","737,498","741,456","739,700","735,139","731,545","732,964","734,923","733,276","733,406"
AZ,Arizona,"6,407,172","6,472,643","6,554,978","6,632,764","6,730,413","6,829,676","6,941,072","7,044,008","7,158,024","7,278,717","7,186,683","7,272,487","7,365,684","7,431,344"
AR,Arkansas,"2,921,964","2,940,667","2,952,164","2,959,400","2,967,392","2,978,048","2,989,918","3,001,345","3,009,733","3,017,804","3,014,348","3,028,443","3,046,404","3,067,732"
CA,California,"37,319,502","37,638,369","37,948,800","38,260,787","38,596,972","38,918,045","39,167,117","39,358,497","39,461,588","39,512,223","39,503,200","39,145,060","39,040,616","38,965,193"
CO,Colorado,"5,047,349","5,121,108","5,192,647","5,269,035","5,350,101","5,450,623","5,539,215","5,611,885","5,691,287","5,758,736","5,785,219","5,811,596","5,841,039","5,877,610"
CT,Connecticut,"3,579,114","3,588,283","3,594,547","3,594,841","3,594,524","3,587,122","3,578,141","3,573,297","3,571,520","3,565,287","3,577,586","3,603,691","3,608,706","3,617,176"
DE,Delaware,"899,593","907,381","915,179","923,576","932,487","941,252","948,921","956,823","965,479","973,764","991,862","1,004,881","1,019,459","1,031,890"
DC,District of Columbia,"605,226","619,800","634,924","650,581","662,328","675,400","685,815","694,906","701,547","705,749","670,839","669,037","670,949","678,972"
FL,Florida,"18,845,537","19,053,237","19,297,822","19,545,621","19,845,911","20,209,042","20,613,477","20,963,613","21,244,317","21,477,737","21,591,299","21,830,708","22,245,521","22,610,726"
GA,Georgia,"9,711,881","9,802,431","9,901,430","9,972,479","10,067,278","10,178,447","10,301,890","10,410,330","10,511,131","10,617,423","10,732,390","10,790,385","10,913,150","11,029,227"
HI,Hawaii,"1,363,963","1,379,329","1,394,804","1,408,243","1,414,538","1,422,052","1,427,559","1,424,393","1,420,593","1,415,872","1,451,181","1,446,745","1,439,399","1,435,138"
ID,Idaho,"1,570,746","1,583,910","1,595,324","1,611,206","1,631,112","1,651,059","1,682,380","1,717,715","1,750,536","1,787,065","1,849,339","1,904,537","1,938,996","1,964,726"
IL,Illinois,"12,840,503","12,867,454","12,882,510","12,895,129","12,884,493","12,858,913","12,820,527","12,778,828","12,723,071","12,671,821","12,790,357","12,690,341","12,582,515","12,549,689"
IN,Indiana,"6,490,432","6,516,528","6,537,703","6,568,713","6,593,644","6,608,422","6,634,304","6,658,078","6,695,497","6,732,219","6,789,098","6,813,798","6,832,274","6,862,199"
IA,Iowa,"3,050,745","3,066,336","3,076,190","3,092,997","3,109,350","3,120,960","3,131,371","3,141,550","3,148,618","3,155,070","3,190,904","3,197,944","3,199,693","3,207,004"
KS,Kansas,"2,858,190","2,869,225","2,885,257","2,893,212","2,900,475","2,909,011","2,910,844","2,908,718","2,911,359","2,913,314","2,938,124","2,937,946","2,936,716","2,940,546"
KY,Kentucky,"4,348,181","4,369,821","4,386,346","4,404,659","4,414,349","4,425,976","4,438,182","4,452,268","4,461,153","4,467,673","4,508,155","4,507,600","4,511,563","4,526,154"
LA,Louisiana,"4,544,532","4,575,625","4,600,972","4,624,527","4,644,013","4,664,628","4,678,135","4,670,560","4,659,690","4,648,794","4,652,022","4,627,047","4,588,023","4,573,749"
ME,Maine,"1,327,629","1,328,284","1,327,729","1,328,009","1,330,513","1,328,262","1,331,317","1,334,612","1,339,057","1,344,212","1,364,517","1,378,787","1,389,338","1,395,722"
MD,Maryland,"5,788,645","5,839,419","5,886,992","5,923,188","5,957,283","5,985,562","6,003,323","6,023,868","6,035,802","6,045,680","6,173,689","6,175,045","6,163,981","6,180,253"
MA,Massachusetts,"6,566,307","6,613,583","6,663,005","6,713,315","6,762,596","6,794,228","6,823,608","6,859,789","6,882,635","6,892,503","6,997,713","6,991,951","6,982,740","7,001,399"
MI,Michigan,"9,877,510","9,882,412","9,897,145","9,913,065","9,929,848","9,931,715","9,950,571","9,973,114","9,984,072","9,986,857","10,070,627","10,038,117","10,033,281","10,037,261"
MN,Minnesota,"5,310,828","5,346,143","5,376,643","5,413,479","5,451,079","5,482,032","5,522,744","5,566,230","5,606,249","5,639,632","5,710,578","5,717,968","5,714,300","5,737,915"
MS,Mississippi,"2,970,548","2,978,731","2,983,816","2,988,711","2,990,468","2,988,471","2,987,938","2,988,510","2,981,020","2,976,149","2,958,409","2,949,582","2,938,928","2,939,690"
MO,Missouri,"5,995,974","6,010,275","6,024,367","6,040,715","6,056,202","6,071,732","6,087,135","6,106,670","6,121,623","6,137,428","6,154,426","6,170,393","6,177,168","6,196,156"
MT,Montana,"990,697","997,316","1,003,783","1,013,569","1,021,869","1,030,475","1,040,859","1,052,482","1,060,665","1,068,778","1,087,211","1,106,366","1,122,878","1,132,812"
NE,Nebraska,"1,829,542","1,840,672","1,853,303","1,865,279","1,879,321","1,891,277","1,905,616","1,915,947","1,925,614","1,934,408","1,963,273","1,964,253","1,968,060","1,978,379"
NV,Nevada,"2,702,405","2,712,730","2,743,996","2,775,970","2,817,628","2,866,939","2,917,563","2,969,905","3,027,341","3,080,156","3,115,840","3,146,632","3,177,421","3,194,176"
NH,New Hampshire,"1,316,762","1,320,202","1,324,232","1,326,622","1,333,341","1,336,350","1,342,307","1,348,787","1,353,465","1,359,711","1,378,702","1,387,494","1,399,003","1,402,054"
NJ,New Jersey,"8,799,446","8,828,117","8,844,942","8,856,972","8,864,525","8,867,949","8,870,827","8,885,525","8,886,025","8,882,190","9,272,392","9,269,175","9,260,817","9,290,841"
NM,New Mexico,"2,064,552","2,080,450","2,087,309","2,092,273","2,089,568","2,089,291","2,091,630","2,091,784","2,092,741","2,096,829","2,118,488","2,116,950","2,113,476","2,114,371"
NY,New York,"19,399,878","19,499,241","19,572,932","19,624,447","19,651,049","19,654,666","19,633,428","19,589,572","19,530,351","19,453,561","20,104,710","19,854,526","19,673,200","19,571,216"
NC,North Carolina,"9,574,323","9,657,592","9,749,476","9,843,336","9,932,887","10,031,646","10,154,788","10,268,233","10,381,615","10,488,084","10,453,812","10,567,100","10,695,965","10,835,491"
ND,North Dakota,"674,715","685,225","701,176","722,036","737,401","754,066","754,434","754,942","758,080","762,062","779,563","777,982","778,912","783,926"
OH,Ohio,"11,539,336","11,544,663","11,548,923","11,576,684","11,602,700","11,617,527","11,634,370","11,659,650","11,676,341","11,689,100","11,798,292","11,765,227","11,759,697","11,785,935"
OK,Oklahoma,"3,759,944","3,788,379","3,818,814","3,853,214","3,878,187","3,909,500","3,926,331","3,931,316","3,940,235","3,956,971","3,965,234","3,991,634","4,019,271","4,053,824"
OR,Oregon,"3,837,491","3,872,036","3,899,001","3,922,468","3,963,244","4,015,792","4,089,976","4,143,625","4,181,886","4,217,737","4,245,044","4,256,465","4,239,379","4,233,358"
PA,Pennsylvania,"12,711,160","12,745,815","12,767,118","12,776,309","12,788,313","12,784,826","12,782,275","12,787,641","12,800,922","12,801,989","12,995,477","13,013,614","12,972,091","12,961,683"
RI,Rhode Island,"1,053,959","1,053,649","1,054,621","1,055,081","1,055,936","1,056,065","1,056,770","1,055,673","1,058,287","1,059,361","1,096,444","1,097,092","1,093,842","1,095,962"
SC,South Carolina,"4,635,649","4,671,994","4,717,354","4,764,080","4,823,617","4,891,938","4,957,968","5,021,268","5,084,156","5,148,714","5,132,151","5,193,848","5,282,955","5,373,555"
SD,South Dakota,"816,166","823,579","833,566","842,316","849,129","853,988","862,996","872,868","878,698","884,659","887,852","896,299","909,869","919,318"
TN,Tennessee,"6,355,311","6,399,291","6,453,898","6,494,340","6,541,223","6,591,170","6,646,010","6,708,799","6,771,631","6,829,174","6,926,091","6,963,709","7,048,976","7,126,489"
TX,Texas,"25,241,971","25,645,629","26,084,481","26,480,266","26,964,333","27,470,056","27,914,410","28,295,273","28,628,666","28,995,881","29,234,361","29,561,286","30,029,848","30,503,301"
UT,Utah,"2,775,332","2,814,384","2,853,375","2,897,640","2,936,879","2,981,835","3,041,868","3,101,042","3,153,550","3,205,958","3,283,982","3,339,284","3,381,236","3,417,734"
VT,Vermont,"625,879","627,049","626,090","626,210","625,214","625,216","623,657","624,344","624,358","623,989","642,936","647,093","647,110","647,464"
VA,Virginia,"8,023,699","8,101,155","8,185,080","8,252,427","8,310,993","8,361,808","8,410,106","8,463,587","8,501,286","8,535,519","8,637,193","8,657,348","8,679,099","8,715,698"
WA,Washington,"6,742,830","6,826,627","6,897,058","6,963,985","7,054,655","7,163,657","7,294,771","7,423,362","7,523,869","7,614,893","7,724,566","7,741,433","7,784,477","7,812,880"
WV,West Virginia,"1,854,239","1,856,301","1,856,872","1,853,914","1,849,489","1,842,050","1,831,023","1,817,004","1,804,291","1,792,147","1,791,562","1,785,249","1,774,035","1,770,071"
WI,Wisconsin,"5,690,475","5,705,288","5,719,960","5,736,754","5,751,525","5,760,940","5,772,628","5,790,186","5,807,406","5,822,434","5,896,700","5,879,978","5,890,543","5,910,955"
WY,Wyoming,"564,487","567,299","576,305","582,122","582,531","585,613","584,215","578,931","577,601","578,759","577,664","579,548","581,629","584,057"
